ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,1,166
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,2,91
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,3,55
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,4,141
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,5,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,6,58
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,1,921
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,2,251
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,3,56
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,4,263
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,5,17
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,6,156
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,1,257
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,2,149
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,3,75
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,4,224
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,5,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,6,75
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,1,940
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,2,285
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,3,56
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,4,214
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,5,27
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,6,131
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,5,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,6,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,1,3
