ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,1,179
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,2,52
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,3,81
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,4,205
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,1,982
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,2,289
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,3,100
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,4,434
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,1,323
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,2,87
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,3,95
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,4,338
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,1,1042
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,2,256
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,3,91
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,4,445
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",M,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",F,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,HY,1,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,HY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,HY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,HY,2,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",M,HY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,HY,1,5
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000""",F,HY,2,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,1,167
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,2,62
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,3,48
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,AHY,4,215
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,1,1030
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,2,285
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,3,75
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",M,HY,4,422
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,1,370
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,2,125
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,3,58
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,AHY,4,331
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,1,1074
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,2,273
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,3,62
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000""",F,HY,4,400
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001""",F,AHY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",M,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",M,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,HY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,HY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100""",F,HY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,1,3
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",M,HY,4,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,AHY,1,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,HY,1,8
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000""",F,HY,2,5
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000""",M,AHY,4,3
