ch,sex,age_class,flyway,freq
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",M,AHY,4,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",M,HY,4,4
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",F,AHY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",F,HY,1,5
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100""",F,HY,2,3
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,1,127
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,2,62
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,3,42
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,4,202
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,AHY,6,61
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,1,818
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,2,281
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,3,67
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,4,372
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",M,HY,6,277
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,1,288
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,2,123
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,3,54
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,4,321
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,AHY,6,98
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,1,805
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,2,271
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,3,59
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,4,362
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000""",F,HY,6,314
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",M,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",M,HY,6,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",F,AHY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",F,AHY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",F,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",F,HY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001""",F,HY,4,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,AHY,2,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,HY,1,1
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,HY,4,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",M,HY,6,2
"""00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100""",F,AHY,1,1
