ch,sex,age_class,flyway,freq
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,1,166
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,2,91
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,3,55
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,4,141
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,5,2
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,AHY,6,58
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,1,1000
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,2,366
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,3,93
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,4,447
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,5,17
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",M,HY,6,204
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,1,257
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,2,149
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,3,75
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,4,224
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,5,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,AHY,6,75
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,1,1023
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,2,432
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,3,82
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,4,375
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,5,27
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010""",F,HY,6,197
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,1,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,2,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,3,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,AHY,4,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,1,7
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,4,4
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,5,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",M,HY,6,1
"""0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011""",F,AHY,1,3
